"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q1",6.73e-2,0.1142,0.2679140127388535,0.7628842407525257,1.9930916306578224
"q1",4.34e-2,7.97e-2,0.19763205828779598,0.8768846815459924,2.187050040544251
"q1",5.35e-2,8.13e-2,0.1256213285133303,0.6037164607865184,1.2314706351834357
"q1",4.55e-2,7.89e-2,0.1818181818181818,0.7941587549274,1.9985580258260933
"q1",6.14e-2,9.25e-2,0.15170731707317076,0.5912147100334951,1.3049801099170644
"q1",3.57e-2,6.770000000000001e-2,0.1688741721854305,0.9232317595458973,2.241952718166767
"q1",4.28e-2,6.49e-2,0.15729537366548038,0.6006076815979916,1.8777935374314454
"q1",6.14e-2,0.10270000000000001,0.22970445192667419,0.7421256209480157,1.9034682573063715
"q1",8.69e-2,0.12440000000000001,0.25379672897196265,0.5175584033162024,1.5462453931483027
"q1",4.76e-2,8.92e-2,0.15356220007382798,0.9060821366123611,1.6897896561805836
"q1",3.32e-2,6.48e-2,0.16016218955904712,0.9648105715376999,2.270278455656069
"q1",4.92e-2,7.58e-2,0.16677115987460814,0.6235395328318519,1.7611396010591673
"q1",4.21e-2,7.38e-2,0.17659395973154363,0.809800582994,2.068543859087288
"q1",4.54e-2,7.04e-2,0.1699524133242692,0.6328831313463823,1.9043666456657913
"q1",5.94e-2,9.89e-2,0.19959677419354838,0.7355075899583451,1.748553568441418
"q1",4.95e-2,8.14e-2,0.13744075829383887,0.717600269299275,1.4733094710028645
"q1",5.21e-2,8.29e-2,0.19310344827586207,0.6700887292172422,1.8900186493136106
"q1",5.61e-2,9.02e-2,0.16001877053026747,0.6851266626465882,1.5121684701821254
"q1",6.12e-2,8.66e-2,0.12330097087378639,0.5008353720340732,1.0105806015583825
"q1",6.21e-2,0.1024,0.24107142857142863,0.7215505417795185,1.9567955014348326

"query name","prior Vuln for piece-wise random prior","Traditional post-vuln for piece-wise rand Prior","Max-based post-vuln for piece-wise rand Prior","Leakage using trad. pvuln for p-wise rand prior","Leakage using max-based pvuln for p-wise prior"
"q1",3.86e-2,5.82e-2,0.17861482381530985,0.5924183056402035,2.2101790666961074
"q1",0.1064,0.1674,0.3602007676409802,0.6538013770491541,1.7593031050043513
"q1",4.92e-2,8.39e-2,0.28286699885013417,0.7700124951005834,2.5233936514531536
"q1",4.96e-2,9.64e-2,0.24592748292170255,0.9586930258430865,2.3098209424719567
"q1",4.94e-2,6.36e-2,0.20199146514935987,0.3645157236996779,2.0317113883969187
"q1",1.9563636363636363e-2,2.4775401069518716e-2,4.761904761904759e-2,0.34073385811367024,1.2833642128513614
"q1",4.55e-2,5.26e-2,0.17367501456027953,0.2091962542062439,1.9324517678573363
"q1",3.36e-2,4.84e-2,0.17692767483562463,0.5265458144958343,2.396626592361286
"q1",2.71e-2,4.7549999999999995e-2,0.21541432584269668,0.8111524895066917,2.9907494408920856
"q1",5.4220000000000004e-2,7.255333333333333e-2,8.541676512752656e-2,0.4202167846863172,0.6556941486203226
"q1",5.226666666666666e-2,7.256666666666667e-2,0.24305139827247066,0.4734158480729985,2.2172983752297757
"q1",2.41e-2,4.21e-2,0.14634146341463417,0.8047870868364345,2.602233539422561
"q1",0.2271,0.3425,0.3632738719832109,0.5927762820283637,0.6777298994118961
"q1",4.53e-2,7.49e-2,0.18209835186922144,0.7254546684125157,2.0071349094849076
"q1",6.43e-2,8.013333333333333e-2,0.10193728399759032,0.317583752662082,0.6647911772418901
"q1",3.44e-2,5.86e-2,0.3361111111111112,0.76849209972015,3.288457765792272
"q1",5.67e-2,7.595e-2,0.17547857793983587,0.4217012295598545,1.6298742797862908
"q1",4.99e-2,6.063333333333333e-2,0.18682912677690744,0.2810713215930696,1.9046076689595364
"q1",4.14e-2,5.62e-2,0.15965480043149946,0.44093936272160095,1.9472532590535432
"q1",7.06e-2,0.1181,0.4774935775717637,0.742268876125977,2.757741239999651


"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q2",6.73e-2,8.18e-2,0.23809523809523808,0.2814943383314316,1.8228603570477344
"q2",4.34e-2,8.26e-2,0.3751196172248804,0.9284467389749661,3.1115837642519337
"q2",5.35e-2,6.86e-2,0.2166427546628408,0.35866968488430284,2.0177071917175966
"q2",4.55e-2,6.29e-2,0.2660550458715596,0.46719347179323056,2.5477863148140365
"q2",6.14e-2,7.86e-2,0.21366459627329187,0.3562906568884269,1.7990373158793882
"q2",3.57e-2,6.770000000000001e-2,0.3257299270072993,0.9232317595458973,3.189680296588923
"q2",4.28e-2,6.49e-2,0.33183183183183185,0.6006076815979916,2.954769585468472
"q2",6.14e-2,9.11e-2,0.23552735923869947,0.5692123984318713,1.9395840946518164
"q2",8.69e-2,0.12440000000000001,0.3223293768545994,0.5175584033162024,1.891107598367591
"q2",4.76e-2,8.230000000000001e-2,0.30735163861824627,0.7899308571136822,2.6908566980467663
"q2",3.32e-2,6.13e-2,0.30444203683640303,0.8847038323438569,3.1969124307776764
"q2",4.92e-2,6.34e-2,0.19640387275242047,0.3658245248001673,1.997093156763774
"q2",4.21e-2,7.38e-2,0.256394640682095,0.809800582994,2.606473967771645
